experiment_index;n;mod;avg_time_microseconds
0;2;1000003;4
5;3;1000003;4
10;4;1000003;15
15;5;1000003;12
20;6;1000003;22
25;7;1000003;29
30;8;1000003;43
35;9;1000003;74
40;10;1000003;101
45;11;1000003;174
50;12;1000003;185
55;13;1000003;249
60;14;1000003;354
65;15;1000003;445
70;16;1000003;618
75;17;1000003;699
80;18;1000003;943
85;19;1000003;1282
90;20;1000003;1474
95;21;1000003;1784
100;22;1000003;2154
105;23;1000003;2566
110;24;1000003;3011
115;25;1000003;3548
120;26;1000003;4187
125;27;1000003;4824
130;28;1000003;5467
135;29;1000003;6300
140;30;1000003;7105
145;31;1000003;8160
150;32;1000003;9599
155;33;1000003;10388
160;34;1000003;12136
165;35;1000003;13664
170;36;1000003;14826
175;37;1000003;16700
180;38;1000003;18337
185;39;1000003;20259
190;40;1000003;22357
195;41;1000003;24716
200;42;1000003;26644
205;43;1000003;29346
210;44;1000003;32097
215;45;1000003;36464
220;46;1000003;39023
225;47;1000003;43507
230;48;1000003;46287
